id,tag,donor,distSpatial,donors,distSpatials
cat-10674,hlr,cat-12678,204,"cat-12678,cat-9694,cat-9627","204,232,238"
cat-11375,hlr,cat-12678,221,"cat-12678,cat-9694,cat-9627","221,246,252"
cat-12173,hlr,cat-12678,46,"cat-12678,cat-9694,cat-9627","46,86,91"
cat-12608,hlr,cat-12678,135,"cat-12678,cat-9694,cat-9627","135,148,153"
cat-12678,hlr,cat-12678,67,"cat-12678,cat-9694,cat-9627","67,94,100"
cat-12698,hlr,cat-12678,142,"cat-12678,cat-9694,cat-9627","142,143,148"
cat-12709,hlr,cat-9694,128,"cat-9694,cat-12678,cat-9627","128,131,133"
cat-12711,hlr,cat-12678,124,"cat-12678,cat-9694,cat-9627","124,131,137"
cat-12794,hlr,cat-12678,88,"cat-12678,cat-9694,cat-9627","88,103,109"
cat-12826,hlr,cat-12678,96,"cat-12678,cat-9694,cat-9627","96,112,118"
cat-12858,hlr,cat-9694,124,"cat-9694,cat-9627,cat-12678","124,129,134"
cat-12895,hlr,cat-9694,109,"cat-9694,cat-12678,cat-9627","109,111,115"
cat-12901,hlr,cat-9694,105,"cat-9694,cat-9627,cat-12678","105,110,114"
cat-12959,hlr,cat-12678,139,"cat-12678,cat-9694,cat-9627","139,148,153"
cat-13228,hlr,cat-12678,58,"cat-12678,cat-9694,cat-9627","58,91,97"
cat-13262,hlr,cat-12678,63,"cat-12678,cat-9694,cat-9627","63,92,97"
cat-13366,hlr,cat-12678,51,"cat-12678,cat-9694,cat-9627","51,88,93"
cat-14305,hlr,cat-12678,397,"cat-12678,cat-9694,cat-9627","397,398,403"
cat-14311,hlr,cat-12678,397,"cat-12678,cat-9694,cat-9627","397,400,405"
cat-16832,hlr,cat-9694,93,"cat-9694,cat-9627,cat-12678","93,98,109"
cat-17165,hlr,cat-9694,98,"cat-9694,cat-9627,cat-12678","98,102,126"
cat-17607,hlr,cat-9694,64,"cat-9694,cat-9627,cat-12678","64,68,108"
cat-17609,hlr,cat-9694,63,"cat-9694,cat-9627,cat-12678","63,67,103"
cat-17620,hlr,cat-9694,59,"cat-9694,cat-9627,cat-12678","59,64,92"
cat-17682,hlr,cat-9694,43,"cat-9694,cat-9627,cat-12678","43,49,51"
cat-17691,hlr,cat-9694,37,"cat-9694,cat-12678,cat-9627","37,41,42"
cat-17703,hlr,cat-9694,31,"cat-9694,cat-9627,cat-12678","31,37,61"
cat-17722,hlr,cat-9694,52,"cat-9694,cat-9627,cat-12678","52,55,102"
cat-17734,hlr,cat-9694,15,"cat-9694,cat-9627,cat-12678","15,18,76"
cat-17776,hlr,cat-12678,62,"cat-12678,cat-9694,cat-9627","62,65,71"
cat-17803,hlr,cat-9694,71,"cat-9694,cat-9627,cat-12678","71,76,103"
cat-17826,hlr,cat-9694,55,"cat-9694,cat-9627,cat-12678","55,59,96"
cat-17840,hlr,cat-9627,31,"cat-9627,cat-9694,cat-12678","31,32,97"
cat-17852,hlr,cat-9694,18,"cat-9694,cat-9627,cat-12678","18,24,65"
cat-17879,hlr,cat-9694,29,"cat-9694,cat-9627,cat-12678","29,35,66"
cat-17890,hlr,cat-9694,46,"cat-9694,cat-9627,cat-12678","46,50,80"
cat-18033,hlr,cat-9694,56,"cat-9694,cat-9627,cat-12678","56,58,112"
cat-18039,hlr,cat-9694,62,"cat-9694,cat-9627,cat-12678","62,63,116"
cat-18055,hlr,cat-9694,59,"cat-9694,cat-9627,cat-12678","59,60,116"
cat-18058,hlr,cat-9694,57,"cat-9694,cat-9627,cat-12678","57,58,115"
cat-18075,hlr,cat-9627,56,"cat-9627,cat-9694,cat-12678","56,56,116"
cat-18113,hlr,cat-9694,77,"cat-9694,cat-9627,cat-12678","77,78,135"
cat-18149,hlr,cat-9694,73,"cat-9694,cat-9627,cat-12678","73,75,124"
cat-18178,hlr,cat-9694,73,"cat-9694,cat-9627,cat-12678","73,75,120"
cat-18187,hlr,cat-9694,51,"cat-9694,cat-9627,cat-12678","51,54,99"
cat-18205,hlr,cat-9694,46,"cat-9694,cat-9627,cat-12678","46,48,102"
cat-18453,hlr,cat-9694,27,"cat-9694,cat-9627,cat-12678","27,30,83"
cat-18456,hlr,cat-9694,29,"cat-9694,cat-9627,cat-12678","29,33,83"
cat-18552,hlr,cat-9694,41,"cat-9694,cat-9627,cat-12678","41,46,76"
cat-18667,hlr,cat-9694,55,"cat-9694,cat-9627,cat-12678","55,60,65"
cat-18681,hlr,cat-9694,63,"cat-9694,cat-12678,cat-9627","63,65,68"
cat-18740,hlr,cat-9694,70,"cat-9694,cat-9627,cat-12678","70,73,114"
cat-18854,hlr,cat-9627,74,"cat-9627,cat-9694,cat-12678","74,74,133"
cat-18878,hlr,cat-9694,46,"cat-9694,cat-9627,cat-12678","46,49,97"
cat-18912,hlr,cat-9694,39,"cat-9694,cat-9627,cat-12678","39,41,94"
cat-19736,hlr,cat-9627,55,"cat-9627,cat-9694,cat-12678","55,57,122"
cat-19752,hlr,cat-9627,70,"cat-9627,cat-9694,cat-12678","70,72,138"
cat-20027,hlr,cat-9627,84,"cat-9627,cat-9694,cat-12678","84,84,142"
cat-20368,hlr,cat-12678,37,"cat-12678,cat-9694,cat-9627","37,43,44"
cat-21109,hlr,cat-9627,48,"cat-9627,cat-9694,cat-12678","48,54,111"
cat-21239,hlr,cat-9627,11,"cat-9627,cat-9694,cat-12678","11,15,82"
cat-21264,hlr,cat-9627,22,"cat-9627,cat-9694,cat-12678","22,25,91"
cat-24749,hlr,cat-9627,53,"cat-9627,cat-9694,cat-12678","53,57,124"
cat-25239,hlr,cat-12678,59,"cat-12678,cat-9694,cat-9627","59,120,125"
cat-25617,hlr,cat-12678,0,"cat-12678,cat-9694,cat-9627","0,66,70"
cat-6584,hlr,cat-12678,325,"cat-12678,cat-9694,cat-9627","325,348,354"
cat-10070,hlr,cat-9891,260,cat-9891,260
cat-10276,hlr,cat-9891,230,cat-9891,230
cat-10705,hlr,cat-9891,215,cat-9891,215
cat-10901,hlr,cat-9891,211,cat-9891,211
cat-10910,hlr,cat-9891,173,cat-9891,173
cat-11512,hlr,cat-9891,258,cat-9891,258
cat-11981,hlr,cat-9891,268,cat-9891,268
cat-12128,hlr,cat-9891,190,cat-9891,190
cat-12239,hlr,cat-9891,163,cat-9891,163
cat-12324,hlr,cat-9891,125,cat-9891,125
cat-12473,hlr,cat-9891,147,cat-9891,147
cat-12568,hlr,cat-9891,127,cat-9891,127
cat-12601,hlr,cat-9891,160,cat-9891,160
cat-12607,hlr,cat-9891,154,cat-9891,154
cat-12614,hlr,cat-9891,154,cat-9891,154
cat-12646,hlr,cat-9891,145,cat-9891,145
cat-12703,hlr,cat-9891,135,cat-9891,135
cat-12757,hlr,cat-9891,138,cat-9891,138
cat-12791,hlr,cat-9891,136,cat-9891,136
