id,tag,donor,distSpatial,donors,distSpatials
cat-19137,camels,cat-14749,221,"cat-14749,cat-14748","221,222"
cat-19203,camels,cat-14749,213,"cat-14749,cat-14748","213,214"
cat-19219,camels,cat-14749,208,"cat-14749,cat-14748","208,209"
cat-19484,camels,cat-14749,202,"cat-14749,cat-14748","202,203"
cat-19492,camels,cat-14749,206,"cat-14749,cat-14748","206,207"
cat-19511,camels,cat-14749,204,"cat-14749,cat-14748","204,205"
cat-19513,camels,cat-14748,205,cat-14748,205
cat-19518,camels,cat-14748,209,"cat-14748,cat-14749","209,209"
cat-19538,camels,cat-14749,214,"cat-14749,cat-14748","214,215"
cat-19655,camels,cat-14748,212,cat-14748,212
cat-19661,camels,cat-14748,218,cat-14748,218
cat-19831,camels,cat-14749,228,"cat-14749,cat-14748","228,229"
cat-19833,camels,cat-14749,225,"cat-14749,cat-14748","225,226"
cat-19884,camels,cat-14749,220,"cat-14749,cat-14748","220,221"
cat-19886,camels,cat-14748,220,cat-14748,220
cat-19890,camels,cat-14748,225,cat-14748,225
cat-19900,camels,cat-14749,228,"cat-14749,cat-14748","228,229"
cat-19911,camels,cat-14749,230,"cat-14749,cat-14748","230,231"
cat-19915,camels,cat-14749,232,"cat-14749,cat-14748","232,233"
cat-19916,camels,cat-14748,235,"cat-14748,cat-14749","235,235"
cat-19918,camels,cat-14749,239,"cat-14749,cat-14748","239,240"
cat-19919,camels,cat-14749,240,"cat-14749,cat-14748","240,241"
cat-19929,camels,cat-14749,237,"cat-14749,cat-14748","237,238"
cat-19930,camels,cat-14749,239,"cat-14749,cat-14748","239,240"
cat-19934,camels,cat-14749,243,"cat-14749,cat-14748","243,244"
cat-19940,camels,cat-14749,240,"cat-14749,cat-14748","240,241"
cat-19941,camels,cat-14749,238,"cat-14749,cat-14748","238,239"
cat-19942,camels,cat-14749,237,"cat-14749,cat-14748","237,238"
cat-19945,camels,cat-14748,249,cat-14748,249
cat-19950,camels,cat-14749,246,"cat-14749,cat-14748","246,247"
cat-19951,camels,cat-14749,244,"cat-14749,cat-14748","244,245"
cat-20048,camels,cat-14749,263,"cat-14749,cat-14748","263,264"
cat-20074,camels,cat-14749,263,"cat-14749,cat-14748","263,264"
cat-20078,camels,cat-14749,265,"cat-14749,cat-14748","265,266"
cat-20085,camels,cat-14749,267,"cat-14749,cat-14748","267,268"
cat-20092,camels,cat-14749,266,"cat-14749,cat-14748","266,267"
cat-20093,camels,cat-14749,270,"cat-14749,cat-14748","270,271"
cat-20095,camels,cat-14749,272,"cat-14749,cat-14748","272,273"
cat-20102,camels,cat-14749,275,"cat-14749,cat-14748","275,276"
cat-20103,camels,cat-14749,273,"cat-14749,cat-14748","273,274"
cat-20126,camels,cat-14748,201,cat-14748,201
cat-20202,camels,cat-14748,203,"cat-14748,cat-14749","203,203"
cat-20208,camels,cat-14748,209,cat-14748,209
cat-20276,camels,cat-14748,264,cat-14748,264
cat-21046,camels,cat-14749,191,"cat-14749,cat-14748","191,194"
cat-21222,camels,cat-14749,176,"cat-14749,cat-14748","176,178"
cat-21280,camels,cat-14749,208,"cat-14749,cat-14748","208,210"
cat-21350,camels,cat-14749,195,"cat-14749,cat-14748","195,196"
cat-21471,camels,cat-14748,194,cat-14748,194
cat-22934,camels,cat-14748,158,"cat-14748,cat-14749","158,159"
cat-22937,camels,cat-14748,155,"cat-14748,cat-14749","155,157"
cat-22939,camels,cat-14748,155,"cat-14748,cat-14749","155,156"
cat-22972,camels,cat-14748,148,cat-14748,148
cat-22973,camels,cat-14748,154,"cat-14748,cat-14749","154,154"
cat-23029,camels,cat-14748,150,cat-14748,150
cat-23036,camels,cat-14748,146,cat-14748,146
cat-23056,camels,cat-14748,152,"cat-14748,cat-14749","152,153"
cat-23058,camels,cat-14748,149,cat-14748,149
cat-23060,camels,cat-14748,143,"cat-14748,cat-14749","143,145"
cat-23080,camels,cat-14748,161,cat-14748,161
cat-23083,camels,cat-14748,159,"cat-14748,cat-14749","159,160"
cat-23086,camels,cat-14748,161,"cat-14748,cat-14749","161,162"
cat-23087,camels,cat-14748,159,"cat-14748,cat-14749","159,160"
cat-23228,camels,cat-14748,154,cat-14748,154
cat-23231,camels,cat-14749,141,"cat-14749,cat-14748","141,142"
cat-23507,camels,cat-14748,193,cat-14748,193
cat-23510,camels,cat-14748,191,"cat-14748,cat-14749","191,191"
cat-23549,camels,cat-14748,174,"cat-14748,cat-14749","174,174"
cat-23552,camels,cat-14748,169,"cat-14748,cat-14749","169,170"
cat-23560,camels,cat-14748,169,"cat-14748,cat-14749","169,170"
cat-23585,camels,cat-14748,153,"cat-14748,cat-14749","153,153"
cat-24153,camels,cat-14748,153,"cat-14748,cat-14749","153,154"
cat-24544,camels,cat-14749,146,"cat-14749,cat-14748","146,148"
cat-24847,camels,cat-14749,183,"cat-14749,cat-14748","183,184"
cat-25881,camels,cat-14749,272,"cat-14749,cat-14748","272,275"
cat-26169,camels,cat-14749,180,"cat-14749,cat-14748","180,183"
cat-27440,camels,cat-14749,68,"cat-14749,cat-14748","68,71"
cat-28247,camels,cat-14749,146,"cat-14749,cat-14748","146,148"
cat-28251,camels,cat-14749,144,"cat-14749,cat-14748","144,147"
cat-30132,camels,cat-14748,83,"cat-14748,cat-14749","83,83"
cat-30138,camels,cat-14748,85,"cat-14748,cat-14749","85,86"
cat-30697,camels,cat-14748,88,"cat-14748,cat-14749","88,91"
cat-30698,camels,cat-14748,88,"cat-14748,cat-14749","88,91"
