,reg_algorithm,reg_scenario,prcFlatLowland,prcFlatUpland,prcFlatTotal,relief,cidx,aridity,sand_frac,clay_frac,soil_depth,forest_frac,cropland_frac,urban_frac,slope,elev_mean,p_mean,pet_mean,snow_frac,high_prec_freq,low_prec_freq,high_prec_dur,low_prec_dur,gvf_max,gvf_diff,lai_max,lai_diff,geo_porosity,geo_permeability,soil_porosity,soil_conductivity
std,gower,camels,,,,,,0.08292104655415845,0.10925760621702639,0.02974409674433942,0.22315174691714718,0.175650400646461,,,0.04526114821148696,169.91951054318952,62.05336814844284,75.63160832222187,0.032603397928964724,0.8746945744710811,4.634260109640757,0.02125098787922331,0.12402720624498959,0.13864550914739282,0.1251781713009094,0.8111160798457255,0.7093672243696104,0.06259054478953072,0.7034901125741899,0.03224175988938198,1.0257067048834096
min,gower,camels,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,gower,camels,,,,,,0.03,0.03,0.01,0.0,0.06,,,0.02,47.0775,32.015,24.07,0.01,0.58,1.83,0.01,0.06,0.0,0.01,0.18,0.2,0.01,0.1,0.01,0.26
50%,gower,camels,,,,,,0.07,0.1,0.02,0.15,0.13,,,0.05,107.695,69.00999999999999,52.63,0.02,1.13,3.96,0.02,0.13,0.03,0.05,0.38,0.43,0.04,0.56,0.01,0.83
75%,gower,camels,,,,,,0.13,0.19,0.04,0.33,0.27,,,0.08,225.64,116.995,100.77,0.04,1.8,7.46,0.04,0.21,0.08,0.1,0.79,0.87,0.1,1.1,0.03,1.24
max,gower,camels,,,,,,0.47,0.61,0.23,1.48,0.89,,,0.37,884.0,512.75,394.54,0.18,6.21,36.62,0.14,0.95,0.99,0.98,5.36,4.57,0.26,8.16,0.42,26.12
count,kmeans,hlr,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14266.0,14266.0,14436.0,14632.0,14632.0,14632.0,,,,,,,,,,,,,,,,,
mean,kmeans,hlr,8.295379989065063,3.886960087479497,7.279661016949152,83.01659376708582,0.0945379989065063,0.13489406779661017,0.10214636197953177,0.026578578438244776,0.14945691327237465,0.12086454346637507,0.05623496446145436,0.07064516129032257,,,,,,,,,,,,,,,,,
std,kmeans,hlr,9.264347243053791,5.766934849310779,8.393684656771972,77.12352978585268,0.07671582146363111,0.10999892376340953,0.0957072584119749,0.03726629516392871,0.24063700566049565,0.10234311949883095,0.06311979089809883,0.09530754842427812,,,,,,,,,,,,,,,,,
min,kmeans,hlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
25%,kmeans,hlr,2.0,0.0,1.0,27.885,0.03,0.05,0.03,0.01,0.0,0.04,0.01,0.02,,,,,,,,,,,,,,,,,
50%,kmeans,hlr,5.0,2.0,4.0,61.435,0.08,0.1,0.07,0.01,0.02,0.09,0.04,0.04,,,,,,,,,,,,,,,,,
75%,kmeans,hlr,12.0,4.0,10.0,115.63499999999999,0.14,0.2,0.15,0.03,0.22,0.18,0.1,0.08,,,,,,,,,,,,,,,,,
max,kmeans,hlr,88.0,74.0,90.0,735.71,0.5,0.54,0.67,0.25,1.48,0.5,0.89,0.89,,,,,,,,,,,,,,,,,
count,kmeans,camels,,,,,,14632.0,14266.0,14266.0,14436.0,14632.0,,,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14623.0,14623.0,14301.0,14301.0
mean,kmeans,camels,,,,,,0.0968329688354292,0.08443852516472733,0.024465862890789287,0.15809781102798556,0.1371316293056315,,,0.03804606342263532,83.49300642427555,88.27702159650083,55.746881492618925,0.02182886823400765,1.3337452159650083,5.0423407599781305,0.020930836522689993,0.13043944778567523,0.06898920174958995,0.08553786221979225,0.6328943411700383,0.612436440677966,0.053134103809067905,0.6869965123435684,0.020334242360674083,0.682053702538284
std,kmeans,camels,,,,,,0.0795666273239487,0.0741992432321205,0.02651584567518371,0.23569387216887572,0.11947082033200788,,,0.031176152663941296,77.11729985858207,67.69224354773053,44.564603166826835,0.018241800230557256,0.971622390221371,4.658627867738794,0.017058523792920683,0.09810941793432931,0.13955668367378848,0.12752845460501627,0.8060847779907625,0.706941023047163,0.05846651113694719,0.754282320913827,0.03504063806767691,0.937086922804955
