id,toid,type,areasqkm,gages
cat-15043,nex-14280,network,13.544094109566,01169000
cat-13996,nex-13997,network,14.2191057870685,01169000
cat-13997,nex-13998,network,14.7149969490556,01169000
cat-14277,nex-14278,network,10.8963034199992,01169000
cat-14278,nex-14279,network,12.6036002294624,01169000
cat-14279,nex-14280,network,10.197896921971,01169000
cat-15044,nex-14279,network,5.93459804252105,01169000
cat-15241,nex-13998,network,18.0544505221319,01169000
cat-13998,nex-13999,network,3.57795684893008,01169000
cat-13999,nex-14000,network,25.9785066329114,01169000
cat-15045,nex-13997,network,6.66269876244557,01169000
cat-15937,nex-13997,network,9.49589239954287,01169000
cat-15938,nex-15045,network,7.41869066250634,01169000
cat-16503,nex-13997,network,6.7765477679863,01169000
cat-16504,nex-13996,network,3.38534566198221,01169000
cat-16505,nex-13997,network,3.2179520204995,01169000
cat-16506,nex-15241,network,3.89294971197101,01169000
cat-15936,nex-13998,network,3.06719581499895,01169000
cat-16494,nex-13999,network,4.13504299349592,01169000
cat-15939,nex-13999,network,3.95550409044376,01169000
cat-15940,nex-13999,network,2.60639756555387,01169000
cat-16502,nex-14000,network,3.17295891454732,01169000
cat-16501,nex-14000,network,5.84684481600732,01169000
cat-16534,nex-14279,network,4.13279877602395,01169000
cat-16498,nex-14277,network,3.94919098646927,01169000
cat-16499,nex-14278,network,1.21275208348155,01169000
cat-16532,nex-15044,network,4.66200965696333,01169000
cat-16500,nex-14280,network,3.21570086401428,01169000
cat-15935,nex-14280,network,4.50810290701842,01169000
cat-14280,nex-14000,network,4.68674695799684,01169000
cat-14000,nex-14001,network,10.9687425345661,01169000
cat-14099,nex-14100,network,21.5793002925647,01134500
cat-14100,nex-14101,network,3.84480251100664,01134500
cat-14101,nex-14102,network,7.90964804248053,01134500
cat-15147,nex-15148,network,5.36446025553841,01134500
cat-15390,nex-14101,network,13.20840382048,01134500
cat-16283,nex-14102,network,5.83875091800335,01134500
cat-14097,nex-14098,network,14.3496029340059,01134500
cat-16979,nex-14098,network,10.2442472640373,01134500
cat-14098,nex-14099,network,8.96264619291517,01134500
cat-16980,nex-14099,network,7.87995056695539,01134500
cat-17003,nex-14100,network,9.86219706153246,01134500
cat-14963,nex-14964,network,3.86099189998616,01134500
cat-16982,nex-14964,network,3.39300638997489,01134500
cat-14964,nex-14965,network,9.24390381146736,01134500
cat-16282,nex-15147,network,3.99464809646365,01134500
cat-16981,nex-15148,network,4.95269485192784,01134500
cat-15148,nex-14965,network,9.09450189905302,01134500
cat-14965,nex-14100,network,3.61619487902403,01134500
cat-16983,nex-14101,network,12.4577970435188,01134500
cat-17010,nex-15390,network,13.8136500720627,01134500
cat-15389,nex-15390,network,21.7062012373843,01134500
cat-11684,nex-11685,network,12.7606577265494,01091000
cat-12257,nex-11859,network,11.7085437360649,01091000
cat-12448,nex-12257,network,8.93160379350054,01091000
cat-11681,nex-11682,network,10.5682486950335,01091000
cat-11682,nex-11683,network,18.6763437404801,01091000
cat-11683,nex-11684,network,9.63404888410038,01091000
cat-11859,nex-11860,network,10.0232924894071,01091000
cat-11861,nex-11862,network,10.8152957249355,01091000
cat-11862,nex-11863,network,8.12610583654514,01091000
cat-11863,nex-11687,network,8.02980055345438,01091000
cat-11971,nex-11972,network,13.8604488794246,01091000
cat-12020,nex-11683,network,12.8268098730177,01091000
cat-12046,nex-12047,network,4.13775099903322,01091000
cat-12100,nex-11684,network,13.8541435513907,01091000
cat-12180,nex-11687,network,17.0117995049435,01091000
cat-12181,nex-11972,network,15.8926556339879,01091000
cat-12258,nex-12046,network,5.03594097302222,01091000
cat-12333,nex-12256,network,6.8737483891083,01091000
cat-12334,nex-11863,network,11.4029941769295,01091000
cat-12419,nex-11862,network,8.78084602194373,01091000
cat-12446,nex-11683,network,6.43590306901923,01091000
cat-12447,nex-11681,network,5.78655552595469,01091000
cat-12450,nex-11685,network,15.700053856343,01091000
cat-12585,nex-11862,network,9.93420706952218,01091000
cat-12606,nex-12020,network,4.16024613452751,01091000
cat-12607,nex-12140,network,3.73995219145721,01091000
cat-12792,nex-11863,network,5.91795144003616,01091000
cat-11686,nex-11687,network,6.33239697153881,01091000
cat-11858,nex-11859,network,8.27460398696965,01091000
cat-11970,nex-11971,network,9.24930124648854,01091000
cat-11972,nex-11863,network,8.3177990191212,01091000
cat-12140,nex-12141,network,5.12729734054139,01091000
cat-12256,nex-11682,network,1.93185035098685,01091000
cat-12420,nex-11860,network,11.4421491584151,01091000
cat-12449,nex-11863,network,6.73109941949663,01091000
cat-12586,nex-11862,network,8.00594811456212,01091000
cat-12605,nex-11686,network,4.30650299699213,01091000
cat-12608,nex-11863,network,6.83054687693074,01091000
cat-12794,nex-12586,network,4.34340439200026,01091000
cat-12797,nex-11862,network,3.79125094953056,01091000
cat-12830,nex-12047,network,2.60775534149209,01091000
cat-12047,nex-11685,network,9.96885335250464,01091000
cat-13139,nex-11682,network,4.44510243905611,01091000
cat-13138,nex-12333,network,3.08879798845759,01091000
cat-13140,nex-11684,network,5.54714837992734,01091000
cat-13141,nex-11684,network,3.70080057154555,01091000
cat-13142,nex-11685,network,9.8446482224594,01091000
cat-11685,nex-11686,network,10.1618939565725,01091000
cat-13089,nex-12796,network,3.65175242992872,01091000
cat-12795,nex-12796,network,6.16274662494682,01091000
cat-12796,nex-11860,network,4.65074492408268,01091000
cat-13088,nex-11860,network,8.20530222750965,01091000
cat-13087,nex-11860,network,3.66704707500839,01091000
cat-13086,nex-12420,network,4.11840187197167,01091000
cat-11860,nex-11861,network,5.90039721449526,01091000
cat-13090,nex-11861,network,1.53764902802154,01091000
cat-13091,nex-11862,network,4.45365106654424,01091000
cat-12793,nex-11862,network,1.80179959049976,01091000
cat-12831,nex-12141,network,1.47825182247517,01091000
cat-12141,nex-11972,network,8.82899829904863,01091000
cat-13092,nex-11970,network,3.40830330298375,01091000
cat-12798,nex-11971,network,2.54924868156737,01091000
cat-13144,nex-12334,network,3.50325074253058,01091000
cat-13143,nex-12449,network,6.01965699296363,01091000
cat-7763,nex-7764,network,11.8399528800412,01054200
cat-7761,nex-7762,network,7.60636115550316,01054200
cat-7765,nex-7766,network,14.0705994015807,01054200
cat-8364,nex-7761,network,8.69534542357018,01054200
cat-8623,nex-7765,network,28.4966933130172,01054200
cat-8841,nex-8623,network,7.00605617843552,01054200
cat-9590,nex-7764,network,1.1299460040395,01054200
cat-9579,nex-7762,network,10.240647808455,01054200
cat-7762,nex-7763,network,8.68994237247873,01054200
cat-9581,nex-7763,network,13.0986009270151,01054200
cat-9580,nex-7764,network,19.5975081495168,01054200
cat-9564,nex-7764,network,9.33210134551954,01054200
cat-9582,nex-7764,network,17.5437004905221,01054200
